2017-03-01T20:48:09.159Z,GJECK,DH8D,MEDIUM,EGPF,,,2017-02-28T18:47:00Z,,RECEIVED,BEE,EGBB,,2017-02-28T17:25:00Z,,,,db0a89a1-b2f9-45a2-bb0d-a2e2d788c490,RECEIVED,BEE8SK,,,,,,,,,,,,,IFR,N0317F230 TNT/N0318F240 N57 POL N601 RIBEL,PLANNED
2017-03-01T20:54:49.965Z,GJECI,DH8D,MEDIUM,EGCC,,,2017-03-01T00:19:15Z,,DERIVED,BEE,EGHI,,,2017-02-28T22:04:15Z,,,9874a3d1-14aa-4989-a1ac-dca49137ef1a,RECEIVED,BEE873,,,,,,,,,,,,,,,AIRBORNE
2017-03-01T20:50:31.566Z,GPRPF,DH8D,MEDIUM,EGBB,,,2017-03-01T00:06:00Z,,DERIVED,BEE,EGPH,,,2017-02-28T21:40:00Z,,,4e96186d-165d-4fbc-b1bf-33dbfa2cae9a,RECEIVED,BEE852,,,,,,,,,,,,238,,,AIRBORNE
2017-03-01T22:42:26.708Z,,E190,MEDIUM,,EGFF,,2017-03-01T08:40:00Z,2017-03-01T08:40:00Z,DERIVED,BEE,,EGPH,,,2017-03-01T07:45:00Z,2017-03-01T07:45:00Z,bf02204b-4d5a-4af8-b230-03c57cba3f62,,,DERIVED,BE4502,,,,,,,,,,219,,,SCHEDULED
2017-03-01T20:50:29.344Z,GFBEM,E190,MEDIUM,EGFF,,,2017-02-28T21:28:00Z,,RECEIVED,BEE,EIDW,,2017-02-28T20:35:00Z,,,,32a3b689-8dee-4df7-88db-d4d4246cae17,RECEIVED,BEE8DT,,,,,,,,,,,,,IFR,N0335F210 PESIT5G PESIT L149 BAKUR N546 STU,PLANNED
2017-03-01T23:26:36.234Z,,DH8D,MEDIUM,,EGPH,,2017-03-01T13:50:00Z,2017-03-01T13:50:00Z,DERIVED,BEE,,EGBB,,,2017-03-01T12:55:00Z,2017-03-01T12:55:00Z,6fe259be-43de-4324-bd51-3e51e481b527,,,DERIVED,BE847,,,,,,,,,,238,,,SCHEDULED
2017-03-01T22:42:29.253Z,,DH8D,MEDIUM,,EGAC,,2017-03-01T11:12:30Z,,DERIVED,BEE,,EGPF,,,2017-03-01T10:42:30Z,,6a71ef4f-88dc-468d-b9ff-edada32bbbc6,,,DERIVED,BE125,,,,,,,,,,181,,,SCHEDULED
2017-03-01T22:42:32.100Z,,DH8D,MEDIUM,,EGPF,,2017-03-01T18:30:00Z,2017-03-01T18:30:00Z,DERIVED,BEE,,EGBB,,,2017-03-01T17:35:00Z,2017-03-01T17:35:00Z,81412b17-5890-4555-8651-173c25c10ad1,,,DERIVED,BE792,,,,,,,,,,247,,,SCHEDULED
2017-03-01T20:50:41.585Z,GJEDM,DH8D,MEDIUM,EGNX,,,2017-02-28T16:46:00Z,,RECEIVED,BEE,EGJJ,,2017-02-28T15:25:00Z,,,,e1672248-83c9-44ff-a87e-99a2c0b3e049,RECEIVED,BEE2PU,,,,,,,,,,,,,IFR,N0307F170 ORTAC Q41 WCO/N0301F160 DCT DTY/N0296F150,PLANNED
2017-03-01T23:11:15.312Z,,DH8D,MEDIUM,,EGBB,,2017-03-01T17:50:00Z,2017-03-01T17:50:00Z,DERIVED,BEE,,EDDL,,,2017-03-01T16:30:00Z,2017-03-01T16:30:00Z,6637ae87-f80d-426d-9c61-153135fe915f,,,DERIVED,BE7046,,,,,,,,,,243,,,SCHEDULED
